brand,categories,description,id,image_url,model,name,price,quantity,sales,supplier_id
structure,"['federal', 'house', 'serve']",Month impact yourself person staff trouble need.,1,https://picsum.photos/id/834/300/200,knowledge,foreign,300.77,98,"[36, 49, 38, 37, 9, 9]",3
positive,"['indicate', 'so']",Child recognize parent collection blue movement.,2,https://picsum.photos/id/116/300/200,election,popular,170.26,16,"[38, 25, 46, 43, 34, 38]",5
job,"['however', 'drop']",Person wait speak near.,3,https://picsum.photos/id/43/300/200,rise,second,166.33,12,"[6, 47, 23, 50, 25, 39]",5
how,"['question', 'when', 'show']",Able live last course.,4,https://picsum.photos/id/216/300/200,employee,apply,295.21,17,"[16, 50, 44, 15, 1, 25]",3
listen,['so'],Choice control better.,5,https://picsum.photos/id/536/300/200,glass,practice,366.34,50,"[35, 44, 3, 24, 50, 28]",1
care,"['learn', 'never', 'leave']",The recognize shake purpose either recent land himself.,6,https://picsum.photos/id/435/300/200,someone,spend,132.95,49,"[4, 35, 31, 43, 42, 41]",3
when,"['success', 'better', 'environmental']",Capital create section enjoy race.,7,https://picsum.photos/id/660/300/200,director,standard,122.56,79,"[7, 40, 6, 29, 45, 1]",4
top,"['sign', 'could']",Across agree least environment challenge.,8,https://picsum.photos/id/674/300/200,more,consumer,460.28,98,"[41, 7, 21, 23, 38, 37]",4
follow,"['join', 'until', 'operation']",Many note meeting question country watch against.,9,https://picsum.photos/id/427/300/200,keep,move,384.44,11,"[13, 17, 25, 14, 50, 41]",3
significant,"['million', 'citizen', 'may']",Mr education get tell radio ask consumer.,10,https://picsum.photos/id/621/300/200,usually,later,38.61,78,"[15, 28, 30, 35, 28, 36]",3
company,"['medical', 'catch', 'three']",Trip since write might.,11,https://picsum.photos/id/226/300/200,tough,simple,221.15,49,"[4, 49, 8, 22, 10, 29]",4
fire,"['data', 'tax', 'them']",Analysis movement week voice oil.,12,https://picsum.photos/id/545/300/200,decision,area,394.58,20,"[0, 23, 33, 22, 16, 30]",2
guess,"['operation', 'type', 'laugh']",With free apply himself.,13,https://picsum.photos/id/171/300/200,professional,term,164.76,61,"[34, 44, 19, 48, 41, 6]",3
pass,"['approach', 'course', 'memory']",Might thus exist too mother power.,14,https://picsum.photos/id/128/300/200,resource,her,279.32,87,"[20, 13, 37, 21, 12, 30]",2
it,"['maybe', 'husband', 'lay']",Professor alone current major.,15,https://picsum.photos/id/736/300/200,water,Testeo live,457.49,52,"[42, 20, 49, 7, 24, 0]",5
subject,"['whole', 'member', 'production']",Drive career head rise for party every.,16,https://picsum.photos/id/484/300/200,region,American,78.09,6,"[34, 48, 20, 27, 43, 43]",5
myself,"['weight', 'where', 'pretty']",Camera season you culture perhaps in dog.,17,https://picsum.photos/id/706/300/200,side,big,133.71,66,"[42, 15, 19, 4, 17, 42]",4
action,['expect'],Front president window personal.,18,https://picsum.photos/id/575/300/200,family,black,187.95,16,"[23, 24, 46, 39, 24, 50]",2
enough,"['beyond', 'beat', 'artist']",Democratic plan poor capital early type.,19,https://picsum.photos/id/677/300/200,often,sister,133.52,52,"[17, 23, 43, 3, 28, 0]",4
guess,"['can', 'ask', 'concern']",Treat not think control claim while.,20,https://picsum.photos/id/59/300/200,choose,week,73.59,90,"[4, 34, 47, 25, 25, 4]",1
tonight,['our'],Always officer deal view blood against no manager.,21,https://picsum.photos/id/877/300/200,activity,security,22.04,42,"[18, 24, 38, 12, 38, 41]",5
audience,['book'],Have price trade less.,22,https://picsum.photos/id/642/300/200,help,weight,365.97,33,"[21, 33, 23, 37, 11, 7]",2
try,"['many', 'himself', 'early']",Other movement finally generation.,23,https://picsum.photos/id/347/300/200,least,particular,269.46,22,"[47, 48, 43, 22, 28, 26]",1
different,"['likely', 'around']",Man question food happy human situation same.,24,https://picsum.photos/id/57/300/200,write,issue,34.89,57,"[43, 46, 41, 25, 6, 17]",1
soon,['since'],Political care than others want.,25,https://picsum.photos/id/576/300/200,player,article,98.86,17,"[20, 24, 3, 33, 21, 28]",3
against,"['could', 'before']",Have she leg industry.,26,https://picsum.photos/id/13/300/200,what,whether,300.32,77,"[24, 43, 6, 32, 33, 26]",4
president,"['education', 'knowledge', 'task']",Wait any or card talk American.,27,https://picsum.photos/id/761/300/200,true,build,139.99,66,"[49, 42, 17, 7, 50, 43]",4
least,['water'],Something sort only feeling relate.,28,https://picsum.photos/id/509/300/200,pay,hit,439.93,76,"[33, 40, 33, 34, 25, 8]",2
kitchen,"['military', 'back', 'those']",Fear ago protect last available rock anything.,29,https://picsum.photos/id/174/300/200,go,around,381.76,6,"[10, 24, 3, 44, 10, 17]",5
common,['check'],Phone analysis front cover.,30,https://picsum.photos/id/811/300/200,summer,more,79.22,67,"[26, 27, 15, 19, 34, 12]",4
